,VBTLX,VTABX,VTIAX,VTSAX,VTAPX,VBIAX,VFIAX,VIMAX,VSMAX,VDE,VAW,VIS,VPU,VHT,VFH,VDC,VCR,VGT,VOX,VNQ
VBTLX,1.0,0.655259534639881,0.2259625455244649,0.12137608183214978,0.5845946199122056,0.2869720847000372,0.10873039356516916,0.20262954406201117,0.19842687077223822,-0.04876149504643347,0.19465258583667752,0.12346793715736025,0.33460843706920346,0.2186000099064489,0.09480391485491095,0.23089422539961973,0.14339490924988804,0.05374637800242829,0.07613509083091188,0.4547568302143357
VTABX,0.655259534639881,1.0,0.02239005115378545,-0.013945464453413003,0.6501863054663986,0.0961514291971287,-0.025175763718633806,0.05264033930442793,0.05867204185565519,-0.11971134081382012,0.0508993545243725,0.009099258986375673,0.19503894195256835,0.025921201181404178,0.0038126461823882883,0.11848927154969621,0.031497851088695496,-0.05444495316742008,-0.04581523833490057,0.2663465383715288
VTIAX,0.2259625455244649,0.02239005115378545,1.0,0.7588265716431692,0.09103628618033092,0.7319171177536445,0.7492336016378734,0.7554447786511778,0.7330879646643111,0.4445323008551998,0.7547746365996788,0.7135968755847932,0.4196968299894752,0.5635908648389493,0.6277550684325733,0.4383091594644484,0.6726235952615862,0.677743888376683,0.6451404670157302,0.5899375581082641
VTSAX,0.12137608183214978,-0.013945464453413003,0.7588265716431692,1.0,0.024710249815710093,0.9424576358873351,0.9962123448907201,0.9306684111760517,0.8965609288180068,0.5416048474924003,0.8111695968674898,0.8948730467450422,0.4095774198770608,0.6411679762583197,0.8287210003631039,0.4737735879509099,0.9033437111486313,0.9227420528352342,0.8590225516388044,0.6078285864533037
VTAPX,0.5845946199122056,0.6501863054663986,0.09103628618033092,0.024710249815710093,1.0,0.1200185646795496,0.01612485530829938,0.07530062465315963,0.07466977746069635,0.06479743478840728,0.0879240034373237,0.029904323631286756,0.19411145910896666,0.044443035025911626,0.025023973167663537,0.10305533039933543,0.032413681157734534,-0.027519924879140196,0.008284252002031608,0.23959451338459378
VBIAX,0.2869720847000372,0.0961514291971287,0.7319171177536445,0.9424576358873351,0.1200185646795496,1.0,0.9336462506661122,0.9002858924396104,0.8612926520508982,0.4812910050929361,0.7820427383210468,0.8414674211047002,0.4484423551618439,0.6393303140552719,0.7768517812813609,0.4902412184296506,0.8545451281467618,0.8516068680130218,0.7990398101978469,0.6435435642163472
VFIAX,0.10873039356516916,-0.025175763718633806,0.7492336016378734,0.9962123448907201,0.01612485530829938,0.9336462506661122,1.0,0.9063085623575629,0.8597108989330466,0.5251960564958417,0.787186619688514,0.8710836280538973,0.39677451527339713,0.6308533709791545,0.8074090103517412,0.47155304176602497,0.8916525000725719,0.9312433207633046,0.8602262363413778,0.5800376743250353
VIMAX,0.20262954406201117,0.05264033930442793,0.7554447786511778,0.9306684111760517,0.07530062465315963,0.9002858924396104,0.9063085623575629,1.0,0.9592770192104336,0.6025811440131386,0.887210507432906,0.947403435536129,0.5607841672886661,0.6931256886705809,0.8823516398844597,0.5589057186542413,0.84826652485596,0.7750616297268352,0.7565649528488685,0.7530810343871689
VSMAX,0.19842687077223822,0.05867204185565519,0.7330879646643111,0.8965609288180068,0.07466977746069635,0.8612926520508982,0.8597108989330466,0.9592770192104336,1.0,0.5915746250789699,0.8829566435285192,0.9314191911334121,0.4664092269933715,0.646275239283028,0.8571972938423749,0.4696871168058903,0.8590180149049903,0.7498266473771718,0.7314917748992504,0.7239879896472807
VDE,-0.04876149504643347,-0.11971134081382012,0.4445323008551998,0.5416048474924003,0.06479743478840728,0.4812910050929361,0.5251960564958417,0.6025811440131386,0.5915746250789699,1.0,0.5800194236970037,0.591874688006462,0.3607441726287285,0.3646434151207026,0.585813298973856,0.2686119237062772,0.439224849049701,0.3959671489850323,0.4028167967496866,0.387190221869751
